"Data compilation from experiments on N solubility in silicate melts, Fe-metal, and aqueous fluids. ",,,,,,,,,,,,,,,,,
"fO2 are calculated using the constants A, B, and C after Frost, 1991. ",,,,,,,,,,,,,,,,,
"Melt = silicate melt, MeltM = silicate melt in equilibrium with Fe-metal, Metal = Fe-metal, Fluid = aqueous fluid, Dmetal = Metal/MeltM, Dfluid = Fluid/Melt",,,,,,,,,,,,,,,,,
Distribution coefficients are shown for experiments with coexisting Metal/Melt (Dmetal) and Fluid/Melt (Dfluid),,,,,,,,,,,,,,,,,
"Buffers are: MH = magnetite-hematite, IW = iron-wustite, MM = MnO4-MnO , NNO = nickel-nickel oxide, MW = magnetite-wustite , CoCO = cobalt-cobalt oxide",,,,,,,,,,,,,,,,,
Reference,Melt/Fluid/Metal,Run/ID Number,Run time (min),Pressure(GPa),Temp (deg C),Mineral buffer,logfO2 after Frost 1991,NNO fO2 at NNO,delNNO (dif btwn sample and NNO),N (ppm),error,delta15N,DEL15N (diff from starting material),Constants,A,B,C
Mysen_et_al_2008,Melt,NS4,60,1,1300,MH,-1.66,-6.20,4.54,900,300,,,MH,-25700.6,14.558,0.019
,Melt,NS4,30,1,1400,MH,-0.69,-5.27,4.58,200,200,,,IW,-27489,6.702,0.055
,Melt,NS4,30,1,1500,MH,0.17,-4.44,4.61,900,200,,,MM,-23119.6,12.138,0.019
,Melt,NS4,60,1,1300,IW,-10.42,-6.20,-4.23,3600,1100,,,NNO,-24930,9.36,0.046
,Melt,NS4,30,1,1400,IW,-9.40,-5.27,-4.13,3100,700,,,MW,-32807,13.012,0.083
,Melt,NS4,30,1,1500,IW,-8.49,-4.44,-4.05,1600,200,,,CoCO,-24332.6,7.295,0.052
,Melt,NS4,30,1,1400,MM,-1.57,-5.27,3.70,1700,200,,,,,,
,Melt,NS4,30,1,1400,NNO,-5.27,-5.27,0.00,2400,200,,,,,,
,Melt,NS4,30,1,1400,IW,-9.40,-5.27,-4.13,2200,500,,,,,,
,Melt,NS4,60,1.5,1300,MH,-1.60,-6.05,4.45,1800,1800,,,,,,
,Melt,NS4,30,1.5,1400,MH,-0.63,-5.13,4.50,1400,1400,,,,,,
,Melt,NS4,30,1.5,1500,MH,0.22,-4.31,4.53,1800,900,,,,,,
