Data used in all chondrite calculations. ,,,,,,,,
"Source and notes are given in the first column, along with specific meteorites where known. ",,,,,,,,
Sample classifications are given both as class (Column 3) and specific type (Column 2) ,,,,,,,,
"Meteorite classes are: E= enstatite, C=carbonaceous, O = ordinary, I = Iron, MA = martian, MO= moon, A = achondrite",,,,,,,,
Source/Notes,Meteorite Type,Meteorite Class,Year Published,delta15N,error,N(ppm),delta13C,C (ppm)
Gibson_et_al_1971,CI,C,1971,,,3185,,34800
,CM,C,1971,,,1240,,19200
,CM,C,1971,,,1300,,18000
,CM,C,1971,,,1700,,21700
,CM,C,1971,,,1299,,25700
,CM,C,1971,,,1550,,20300
,CM,C,1971,,,1905,,21900
,CO,C,1971,,,86,,6400
,CO,C,1971,,,97,,6100
,CO,C,1971,,,86,,5200
,CO,C,1971,,,137,,2750
,CO,C,1971,,,92,,8000
,CO,C,1971,,,184,,6900
,CO,C,1971,,,172,,6000
,CO,C,1971,,,108,,8000
,CO,C,1971,,,128,,11500
,CK,C,1971,,,62,,2500
,CK,C,1971,,,51,,2000
,CK,C,1971,,,58,,1000
Gibson_and_Moore_1971,I,I,1971,,,35,,
,IIA,I,1971,,,15,,
,IIB,I,1971,,,18,,
,IIC,I,1971,,,14,,
,IID,I,1971,,,38,,
,IIIA,I,1971,,,25,,
,IIIB,I,1971,,,46,,
,IVA,I,1971,,,4,,
,IVB,I,1971,,,2,,
Kung_and_Clayton_1978,CM,C,1978,26.8,,693,,
Murchison,CM,C,1978,43.9,,828,,
Cold Bokkeveld,CR,C,1978,2.7,,545,,
Renazzo,CV,C,1978,173.0,,514,,
Allende,CV,C,1978,-43.0,,18,,
Leoville,CO,C,1978,-24.3,,88,,
Ornans,CV,C,1978,-13.4,,12,,
Grosnaja,C4,C,1978,-25.4,,54,,
Coolidge,CK,C,1978,0.7,,15,,
Karoonda,EH,E,1978,2.3,,5,,
Abee,EH,E,1978,-28.5,,277,,
Indarch,EL,E,1978,-26.1,,544,,
Hvittis,EL,E,1978,-43.0,,544,,
Pillistfer,EL,E,1978,-36.2,,310,,
Daniel's Kuil,EL,E,1978,-24.2,,167,,
Parnallee,LL,O,1978,-3.5,,10,,
Hamlet,LL,O,1978,8.0,,11,,
Soko-Banja,LL,O,1978,6.6,,74,,
Olivenza,H,O,1978,19.6,,5,,
Tysnes Island,H,O,1978,21.8,,11,,
Weston,H,O,1978,14.0,,7,,
Richardton,H,O,1978,14.2,,6,,
Bjurbole,LL,O,1978,7.3,,13,,
Pasamonte,EU,A,1978,5.4,,8,,
Norton County,AU,A,1978,4.4,,10,,
Goalpara,UR,A,1978,11.8,,18,,
Mason_1979,CI,C,1979,,,3185,,
C2,CM,C,1979,,,1500,,
C3,CV,C,1979,,,105,,
H,H,O,1979,,,48,,
L,L,O,1979,,,43,,
LL,LL,O,1979,,,70,,
E,E,E,1979,,,260,,
Roberts_and_Epstein_1981,CM,C,1981,39.0,,1520,6.3,7520
Murray,CM,C,1981,37.0,,1500,8.2,10170
Orgueil,CI,C,1981,39.0,,2260,-15.6,27070
Renazzo,CV,C,1981,190.0,,1600,,
Halbout_et_al_1986,CI,C,1986,31.8,,1143,,
,CM,C,1986,25.3,,690,,
,CM2,C,1986,6.3,,979,,
,CM,C,1986,22.3,,728,,
,CR,C,1986,43.5,,1311,,
Grady_and_Pillinger_1986,EH,E,1986,-12.7,,973,,
Abee 2,EH,E,1986,-7.0,,481,,
Abee 3,EH,E,1986,-15.7,,220,,
Indarch,EL,E,1986,-30.5,,896,,
Indarch,EL,E,1986,-24.1,,428,,
Kota-Kota,EH,E,1986,-26.1,,533,,
South Oman,EH,E,1986,0.6,,786,,
St Mark's,EH,E,1986,-12.2,,195,,
Atlanta,EL,E,1986,-10.6,,325,,
Daniel's Kuil,EL,E,1986,-31.0,,474,,
Khairpur,EL,E,1986,-47.4,,948,,
NW Forrest,EL,E,1986,-44.6,,490,,
Yilmia,EL,E,1986,-24.2,,214,,
Pepin_and_Becker_1982,IIID,I,1986,-55.5,1.5,15,,
,IIIA,I,1986,-32.3,1.5,20.6,,
,IAB,I,1986,-27.2,2.0,5.7,,
,IVB,I,1986,7.5,1.5,0.8,,
,IVB,I,1986,12.7,0.9,2.1,,
,I,I,1986,11.0,1.0,3.2,,
,I,I,1986,15.8,1.0,6.6,,
Franchi_et_al_1993,IAB,I,1993,-53.9,1.6,2.9,,
,IAB,I,1993,-51.6,1.6,4.1,,
,IAB,I,1993,-54.6,1.6,3.8,,
,IAB,I,1993,-60.2,1.6,21,,
,IAB,I,1993,-42.9,0.1,36.6,,
,IAB,I,1993,-42.8,0.1,34,,
,IAB,I,1993,-54.5,0.6,44.9,,
,IAB,I,1993,-55.4,0.6,117.6,,
,IAB,I,1993,-60.1,0.6,85.5,,
,IAB,I,1993,-64.4,0.6,40.3,,
,IAB,I,1993,-63.3,0.6,13,,
,IAB,I,1993,-59.7,0.6,62.7,,
,IC,I,1993,-87.5,0.6,67.5,,
,IIAB,I,1993,-95.8,0.6,13.9,,
,IIC,I,1993,155.6,0.6,16.9,,
,IID,I,1993,12.5,0.6,16.3,,
,IIE,I,1993,20.7,0.6,2.7,,
,IIF,I,1993,14.4,0.6,23.7,,
,IIIAB,I,1993,-80.0,0.6,20.7,,
,IIIAB,I,1993,-86.2,0.6,16.9,,
,IIIAB,I,1993,-85.5,0.5,32.5,,
,IIIAB,I,1993,-74.2,0.5,32.8,,
,IIIAB,I,1993,-38.1,0.5,2.1,,
,IIIAB,I,1993,-74.5,0.5,13.8,,
,IIIAB,I,1993,-78.7,0.5,43.9,,
,IIIAB,I,1993,-79.1,0.5,15.6,,
,IIICD,I,1993,-62.3,0.5,38.7,,
,IIIE,I,1993,-33.3,0.5,5.8,,
,IIIF,I,1993,-16.3,0.5,5.1,,
,IVA,I,1993,18.0,0.5,0.4,,
,IVB,I,1993,10.0,0.5,1.3,,
Prombo_and_Clayton_1993,IAB,I,1993,-61.8,,38,,
Part of analytical setup used,IAB,I,1993,-73.2,,21.6,,
"a Mo support, which is now",IAB,I,1993,-63.7,,77.8,,
"known to react with N, treat ",IAB,I,1993,-57.0,,52.9,,
with caution,IAB,I,1993,-60.2,,7.7,,
,IC,I,1993,-84.9,,15.1,,
,IIAB,I,1993,-89.2,,8.7,,
,IIAB,I,1993,-80.5,,11.1,,
,IIAB,I,1993,-82.7,,3.5,,
,IIAB,I,1993,-82.2,,13.2,,
,IIC,I,1993,125.3,,4.1,,
,IIC,I,1993,144.6,,4.4,,
,IIC,I,1993,153.2,,10.5,,
,IIC,I,1993,127.4,,8.1,,
,IID,I,1993,7.5,,27.9,,
,IIE,I,1993,14.6,,0.9,,
,IIE,I,1993,46.7,,2.7,,
,IIE,I,1993,116.7,,4.8,,
,IIF,I,1993,7.1,,15.7,,
,IIIAB,I,1993,-82.3,,16.1,,
,IIIAB,I,1993,-84.6,,36.7,,
,IIIAB,I,1993,-84.6,,23.8,,
,IIIAB,I,1993,-83.2,,28,,
,IIIAB,I,1993,79.7,,4.6,,
,IIIAB,I,1993,-75.6,,20.5,,
,IIICD,I,1993,-60.2,,32.4,,
,IIICD,I,1993,-66.1,,69,,
,IIIE,I,1993,-73.5,,12.1,,
,IIIF,I,1993,8.6,,1.4,,
,IVA,I,1993,-3.4,,4.8,,
,IVA,I,1993,3.3,,0.4,,
,IVB,I,1993,11.2,,0.6,,
,I,I,1993,-32.8,,1.9,,
,I,I,1993,20.6,,0.3,,
,I,I,1993,33.6,,2.5,,
,I,I,1993,0.9,,1.2,,
,I,I,1993,-87.1,,3.8,,
,I,I,1993,4.8,,16,,
,I,I,1993,2.5,,0.8,,
,I,I,1993,19.3,,0.4,,
