"Data compilation used in calculation of N budget, organized by year of publication. ",,,,,,,,,,,,,,,,,,
Geologic Setting abbreviations:  O = Oceanic; C = Continental; S = Sediment; L = Lithosphere; A = altered (<300°C); M = metamorphosed (>300 °C); M = primary mantle volcanics; X = xenoliths; OIB = Ocean Isl_and_ Basalt; VV= Volcanic volatiles,,,,,,,,,,,,,,,,,,
Rock name abbreviations: BIF = b_and_ed iron formation; MORB = mid-ocean ridge basalt; OIB = ocean isl_and_ basalt; F = fluid; G = gas,,,,,,,,,,,,,,,,,,
"Columns show, in order, References/notes, Sample name as used in original study, geologic setting (assigned by us), rock type (after original study), Age (Ga), δ15N _and_ error, N concentration (ppm), δ 13 C, Yb, Lu, _and_ Rb concentration (ppm), K2O (wt. %), _and_ Ar data where available  ",,,,,,,,,,,,,,,,,,
Full references are in the Supplementary References document. ,,,,,,,,,,,,,,,,,,
Source/Notes,Sample Name,Geologic Setting,Rock Type,Year Published,Age,delta15N,error,N(ppm),delta13C,Yb,Lu,K2O (WT. %),Rb (ppm),40Ar/36Ar,36Ar (mol/g),Ar total (mol/g),N2/36Ar,N2/40Ar
Hoering_1955,Granite,CL,Granite,1955,,-0.2,,,,,,,,,,,,
,Granite,CL,Granite,1955,,-0.9,,,,,,,,,,,,
,Pitchblende,ACS,Kerogen,1955,,-2.3,,,,,,,,,,,,
Power_et_al_1974,1,AOS,Shale,1974,0.03,,,25,,,,,,,,,,
Peters_et_al_1978,17,OS,Organic,1978,0,6.9,,,-21.0,,,,,,,,,
East Bering Sea,24,OS,Organic,1978,0,8.7,,,-21.7,,,,,,,,,
,35,OS,Organic,1978,0,8.9,,,-21.1,,,,,,,,,
,35,OS,Kerogen,1978,0,8.1,,,-22.9,,,,,,,,,
,65,OS,Organic,1978,0,7.6,,,-21.5,,,,,,,,,
Gulf of Alaska,1,OS,Organic,1978,0,6.2,,,-24.0,,,,,,,,,
,41,OS,Organic,1978,0,6.6,,,-23.9,,,,,,,,,
,50,OS,Organic,1978,0,4.1,,,-24.1,,,,,,,,,
,50,OS,Kerogen,1978,0,3.4,,,-25.6,,,,,,,,,
,52,OS,Organic,1978,0,5.3,,,-24.4,,,,,,,,,
,105,OS,Organic,1978,0,6.6,,,-22.0,,,,,,,,,
,107b,OS,Organic,1978,0,6.0,,,-22.3,,,,,,,,,
,102,OS,Organic,1978,0,6.3,,,-22.6,,,,,,,,,
,119,OS,Organic,1978,0,7.0,,,-22.0,,,,,,,,,
,119,OS,Kerogen,1978,0,5.3,,,-23.0,,,,,,,,,
,123,OS,Organic,1978,0,6.3,,,-21.7,,,,,,,,,
,137,OS,Kerogen,1978,0,5.6,,,-24.3,,,,,,,,,
,13,OS,Kerogen,1978,0,5.2,,,-24.8,,,,,,,,,
Santa Catalina Basin,26,OS,Organic,1978,0,6.9,,,-21.4,,,,,,,,,
,85,OS,Organic,1978,0,7.7,,,-23.7,,,,,,,,,
,285,OS,Organic,1978,0,7.7,,,-21.6,,,,,,,,,
,326,OS,Organic,1978,0,4.2,,,-22.7,,,,,,,,,
,335,OS,Organic,1978,0,5.7,,,-23.4,,,,,,,,,
,376,OS,Organic,1978,0,6.3,,,-22.8,,,,,,,,,
,385,OS,Organic,1978,0,6.4,,,-23.6,,,,,,,,,
Santa Barbara Basin,81,OS,Organic,1978,0,7.6,,,-22.0,,,,,,,,,
,91a,OS,Organic,1978,0,7.4,,,-21.6,,,,,,,,,
,331,OS,Organic,1978,0,9.4,,,-20.6,,,,,,,,,
,381,OS,Organic,1978,0,8.2,,,-21.8,,,,,,,,,
,530,OS,Organic,1978,0,8.5,,,-21.7,,,,,,,,,
,Water,OS,Organic,1978,0,4.2,,,-21.7,,,,,,,,,
,770,OS,Organic,1978,0,5.5,,,-23.4,,,,,,,,,
,965,OS,Organic,1978,0,5.7,,,-22.8,,,,,,,,,
,1,OS,Kerogen,1978,0,7.1,,,-22.3,,,,,,,,,
,SB-K,OS,Kerogen,1978,0,6.1,,,-22.1,,,,,,,,,
Tanner Basin,0,OS,Organic,1978,0,7.8,,,-21.4,,,,,,,,,
,Catcher,OS,Organic,1978,0,8.4,,,-21.0,,,,,,,,,
,0,OS,Organic,1978,0,8.1,,,-21.4,,,,,,,,,
,50,OS,Organic,1978,0,5.5,,,-21.7,,,,,,,,,
,80,OS,Organic,1978,0,8.3,,,-21.2,,,,,,,,,
,IIIA,OS,Kerogen,1978,0,9.9,,,-21.4,,,,,,,,,
,Basin,OS,Kerogen,1978,0,5.7,,,-21.9,,,,,,,,,
,2,OS,Kerogen,1978,0,6.0,,,-22.3,,,,,,,,,
San Pedro Shelf,Outfall,OS,Organic,1978,0,3.2,,,-24.5,,,,,,,,,
,3b,OS,Organic,1978,0,5.9,,,-22.0,,,,,,,,,
,91a,OS,Organic,1978,0,5.9,,,-22.0,,,,,,,,,
,5D2,OS,Kerogen,1978,0,3.8,,,-23.4,,,,,,,,,
,1D2,OS,Kerogen,1978,0,6.8,,,-22.2,,,,,,,,,
Bandaras Bay Mexico,1,OS,Kerogen,1978,0,4.0,,,-24.6,,,,,,,,,
,A2,OS,Kerogen,1978,0,2.8,,,-24.2,,,,,,,,,
,B2,OS,Kerogen,1978,0,3.4,,,-24.2,,,,,,,,,
,A3,OS,Kerogen,1978,0,4.2,,,-24.4,,,,,,,,,
,B3,OS,Kerogen,1978,0,3.3,,,-24.3,,,,,,,,,
,B2,OS,Kerogen,1978,0,2.4,,,-24.8,,,,,,,,,
,d,OS,Kerogen,1978,0,2.4,,,-25.2,,,,,,,,,
Black Sea,1,OS,Anoxic,1978,0,4.6,,,-24.7,,,,,,,,,
,2,OS,Anoxic,1978,0,4.1,,,-25.2,,,,,,,,,
,Trance,OS,Anoxic,1978,0,2.8,,,-21.0,,,,,,,,,
,Walvis Bay,OS,Anoxic,1978,0,9.2,,,-20.0,,,,,,,,,
Peters_et_al_1978,Eel,CS,Organic,1978,0,2.9,,,-25.7,,,,,,,,,
Rivers,Kern,CS,Organic,1978,0,5.3,,,-25.6,,,,,,,,,
,Kern,CS,Kerogen,1978,0,2.9,,,-24.4,,,,,,,,,
,Klamath,CS,Organic,1978,0,6.9,,,-24.9,,,,,,,,,
,Klamath,CS,Kerogen,1978,0,0.6,,,-24.4,,,,,,,,,
,Redwood,CS,Organic,1978,0,5.4,,,-24.9,,,,,,,,,
,Redwood,CS,Kerogen,1978,0,0.3,,,-24.0,,,,,,,,,
,San Joaquin,CS,Organic,1978,0,6.4,,,-25.7,,,,,,,,,
,San Joaquin,CS,Organic,1978,0,5.6,,,-26.9,,,,,,,,,
,Staten muck,CS,Organic,1978,0,2.5,,,-26.6,,,,,,,,,
Lake,Duck Lake,CS,Organic,1978,0,4.1,,,-23.5,,,,,,,,,
,Duck Lake,CS,Kerogen,1978,0,4.9,,,-24.1,,,,,,,,,
,Laguna Mormona,CS,Kerogen,1978,0,3.0,,,-15.0,,,,,,,,,
Sullivan_et_al_1979,32A,CS,Gravel,1979,0.0001,,,73,,,,,,,,,,
Sedimentary rocks from,32 B,CS,Mudstone,1979,0.001,,,4832,,,,,,,,,,
San Joaquin Valley,34 A ,CS,S_and_stone,1979,0.002,,,178,,,,,,,,,,
,34 B,CS,Mudstone,1979,0.003,,,113,,,,,,,,,,
,81,CS,Mudstone,1979,0.004,,,1402,,,,,,,,,,
,17A,OS,S_and_stone,1979,0.005,,,119,,,,,,,,,,
,17B,OS,S_and_stone,1979,0.006,,,250,,,,,,,,,,
,17C,OS,S_and_stone,1979,0.007,,,124,,,,,,,,,,
,17D,OS,S_and_stone,1979,0.008,,,172,,,,,,,,,,
,18A,OS,Siltstone,1979,0.009,,,48,,,,,,,,,,
,19A,OS,S_and_stone,1979,0.01,,,33,,,,,,,,,,
,20A,OS,Shale,1979,0.011,,,3315,,,,,,,,,,
,20B,OS,S_and_stone,1979,0.012,,,1573,,,,,,,,,,
,21,OS,Conglomerate,1979,0.013,,,332,,,,,,,,,,
,80A,OS,Shale,1979,0.014,,,565,,,,,,,,,,
,80B,OS,Shale,1979,0.015,,,897,,,,,,,,,,
,23,OS,Shale,1979,0.016,,,446,,,,,,,,,,
,25,OS,Shale,1979,0.017,,,2210,,,,,,,,,,
,26A,OS,Shale,1979,0.018,,,811,,,,,,,,,,
,26B,OS,Shale,1979,0.019,,,899,,,,,,,,,,
,77B,OS,Shale,1979,0.02,,,647,,,,,,,,,,
,1A,OS,Siltstone,1979,0.021,,,1266,,,,,,,,,,
,32 B,OS,S_and_stone,1979,0.022,,,261,,,,,,,,,,
,5A,OS,S_and_stone,1979,0.023,,,336,,,,,,,,,,
,5B,OS,Shale,1979,0.024,,,330,,,,,,,,,,
,5C,OS,Wacke,1979,0.025,,,199,,,,,,,,,,
,7A,OS,S_and_stone,1979,0.026,,,268,,,,,,,,,,
,9B,OS,Shale,1979,0.027,,,1275,,,,,,,,,,
,9C,OS,S_and_stone,1979,0.028,,,998,,,,,,,,,,
,16,OS,Shale,1979,0.029,,,541,,,,,,,,,,
,75A,OS,Shale,1979,0.03,,,594,,,,,,,,,,
,75C,OS,Shale,1979,0.031,,,605,,,,,,,,,,
,76A,OS,Shale,1979,0.032,,,664,,,,,,,,,,
,76B,OS,Shale,1979,0.033,,,647,,,,,,,,,,
,12A,OS,Shale,1979,0.034,,,495,,,,,,,,,,
,12B,OS,S_and_stone,1979,0.035,,,311,,,,,,,,,,
,12C,OS,Shale,1979,0.036,,,1462,,,,,,,,,,
,13,OS,Shale,1979,0.037,,,394,,,,,,,,,,
,15,OS,Shale,1979,0.038,,,312,,,,,,,,,,
,72A,OS,Mudstone,1979,0.039,,,1147,,,,,,,,,,
,72B,OS,Shale,1979,0.04,,,476,,,,,,,,,,
,72C,OS,Shale,1979,0.041,,,558,,,,,,,,,,
,48,OS,Marl,1979,0.042,,,140,,,,,,,,,,
,50,OS,Marl,1979,0.043,,,86,,,,,,,,,,
,71,OS,S_and_stone,1979,0.044,,,56,,,,,,,,,,
,39,OS,S_and_stone,1979,0.045,,,208,,,,,,,,,,
,41,OS,S_and_stone,1979,0.046,,,1974,,,,,,,,,,
,43,OS,S_and_stone,1979,0.047,,,158,,,,,,,,,,
,44A,OS,Shale,1979,0.048,,,178,,,,,,,,,,
,44B,OS,S_and_stone,1979,0.049,,,259,,,,,,,,,,
,46A,OS,S_and_stone,1979,0.05,,,259,,,,,,,,,,
,46B,OS,Shale,1979,0.051,,,778,,,,,,,,,,
,46C,OS,Shale,1979,0.052,,,229,,,,,,,,,,
,47,OS,S_and_stone,1979,0.053,,,221,,,,,,,,,,
,51,OS,S_and_stone,1979,0.054,,,122,,,,,,,,,,
,54,OS,S_and_stone,1979,0.055,,,245,,,,,,,,,,
,56,OS,Conglomerate,1979,0.056,,,191,,,,,,,,,,
,60,OS,Shale,1979,0.057,,,222,,,,,,,,,,
,63,OS,Shale,1979,0.058,,,284,,,,,,,,,,
,66A,OS,S_and_stone,1979,0.059,,,339,,,,,,,,,,
,66B,OS,Shale,1979,0.06,,,956,,,,,,,,,,
Itihara_and_Honma_1979,1,MOS,Schist,1979,0.095,,,269,,,,,,,,,,
NH4 from Metasediments and,2,MOS,Gneiss,1979,0.095,,,192,,,,,,,,,,
granites in Japan,3,MOS,Gneiss,1979,0.095,,,268,,,,,,,,,,
,4,MOS,Gneiss,1979,0.095,,,122,,,,,,,,,,
,5,MOS,Gneiss,1979,0.095,,,232,,,,,,,,,,
,6,MOS,Amphibolite,1979,0.095,,,53,,,,,,,,,,
,7,MOS,Migmatite,1979,0.095,,,304,,,,,,,,,,
,8,MOS,Migmatite,1979,0.095,,,388,,,,,,,,,,
,9,MOS,Migmatite,1979,0.095,,,415,,,,,,,,,,
,10,CL,Granite,1979,0.095,,,18,,,,,,,,,,
,11,CL,Granite,1979,0.095,,,116,,,,,,,,,,
,12,CL,Granodiorite,1979,0.095,,,37,,,,,,,,,,
,13,CL,Granodiorite,1979,0.095,,,60,,,,,,,,,,
,14,CL,Granodiorite,1979,0.095,,,66,,,,,,,,,,
,15,CL,Granodiorite,1979,0.095,,,64,,,,,,,,,,
,16,CL,Granodiorite,1979,0.095,,,19,,,,,,,,,,
,17,CL,Granodiorite,1979,0.095,,,41,,,,,,,,,,
,18,CL,Granite,1979,0.095,,,74,,,,,,,,,,
,19,CL,Granodiorite,1979,0.095,,,23,,,,,,,,,,
,20,CL,Granite,1979,0.095,,,12,,,,,,,,,,
,21,CL,Granite,1979,0.095,,,16,,,,,,,,,,
,22,CL,Granite,1979,0.095,,,52,,,,,,,,,,
,23,CL,Granite,1979,0.095,,,41,,,,,,,,,,
,24,CL,Granite,1979,0.095,,,19,,,,,,,,,,
,25,CL,Granodiorite,1979,0.095,,,18,,,,,,,,,,
,26,CL,Granite,1979,0.095,,,23,,,,,,,,,,
,27,CL,Granite,1979,0.095,,,8,,,,,,,,,,
,28,CL,Granite,1979,0.095,,,16,,,,,,,,,,
,29,CL,Granite,1979,0.095,,,20,,,,,,,,,,
,30,CL,Granite,1979,0.095,,,41,,,,,,,,,,
,31,CL,Granodiorite,1979,0.095,,,30,,,,,,,,,,
,32,CL,Granite,1979,0.095,,,4,,,,,,,,,,
,33,CL,Granite,1979,0.095,,,4,,,,,,,,,,
,34,CL,Granodiorite,1979,0.095,,,7,,,,,,,,,,
Stiehl_and_Lehmann_1980,1,ACS,Organic,1980,,6.3,,9200,,,,,,,,,,
,2,ACS,Organic,1980,,5.0,,13500,,,,,,,,,,
,3,ACS,Organic,1980,,5.3,,10000,,,,,,,,,,
,4,ACS,Organic,1980,,5.1,,12200,,,,,,,,,,
,5,ACS,Organic,1980,,3.7,,14400,,,,,,,,,,
,6,ACS,Organic,1980,,3.5,,14200,,,,,,,,,,
,7,ACS,Organic,1980,,4.2,,11600,,,,,,,,,,
,8,ACS,Organic,1980,,4.6,,80000,,,,,,,,,,
,9,ACS,Organic,1980,,6.0,,8000,,,,,,,,,,
,10,ACS,Organic,1980,,4.8,,15100,,,,,,,,,,
,11,ACS,Organic,1980,,5.0,,14400,,,,,,,,,,
,12,ACS,Organic,1980,,7.0,,5800,,,,,,,,,,
,13,ACS,Organic,1980,,4.2,,2200,,,,,,,,,,
,14,ACS,Organic,1980,,5.3,,8000,,,,,,,,,,
,15,ACS,Organic,1980,,4.9,,4000,,,,,,,,,,
,16,ACS,Organic,1980,,5.5,,500,,,,,,,,,,
,17,ACS,Organic,1980,,6.9,,1300,,,,,,,,,,
,18,ACS,Organic,1980,,10.7,,1000,,,,,,,,,,
Hayes_et_al_1983,BURRA GROUP,AOS,Kerogen,1983,0.8,5.1,,,,,,,,,,,,
Average of various Precambrian,Bitter Springs Fm,AOS,Kerogen,1983,0.9,7.4,,,,,,,,,,,,
sedimentary rocks,Roper group,AOS,Kerogen,1983,1.4,3.4,,,,,,,,,,,,
,Bungle Bungle Dolomite,AOS,Kerogen,1983,1.6,7.8,,,,,,,,,,,,
,Earaheedy Gp.,AOS,Kerogen,1983,1.8,6.2,,,,,,,,,,,,
,Wyloo Gp.,AOS,Kerogen,1983,2,3.6,,,,,,,,,,,,
,Gunflint Fm,AOS,Kerogen,1983,2,7.2,,,,,,,,,,,,
